"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-11","Clark","Nevada",32003,5,0,2020-03-11,50,1.6094379124341,2,0.693147180559945,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-11","Washoe","Nevada",32031,2,0,2020-03-11,50,0.693147180559945,1.57142857142857,0.451985123743056,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-12","Clark","Nevada",32003,8,0,2020-03-12,51,2.07944154167984,3,1.09861228866811,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-12","Washoe","Nevada",32031,2,0,2020-03-12,51,0.693147180559945,1.71428571428571,0.538996500732684,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-13","Clark","Nevada",32003,16,0,2020-03-13,52,2.77258872223978,5.14285714285714,1.6376087894008,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-13","Washoe","Nevada",32031,2,0,2020-03-13,52,0.693147180559945,1.85714285714286,0.619039208406225,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-14","Clark","Nevada",32003,16,0,2020-03-14,53,2.77258872223978,7.28571428571429,1.98591548366901,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-14","Washoe","Nevada",32031,4,0,2020-03-14,53,1.38629436111989,2.28571428571429,0.82667857318447,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-15","Clark","Nevada",32003,16,0,2020-03-15,54,2.77258872223978,9.28571428571429,2.22847712084032,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-15","Washoe","Nevada",32031,9,0,2020-03-15,54,2.19722457733622,3.28571428571429,1.18958406687384,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-16","Clark","Nevada",32003,35,1,2020-03-16,55,3.55534806148941,14,2.63905732961526,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-16","Washoe","Nevada",32031,9,0,2020-03-16,55,2.19722457733622,4.28571428571429,1.45528723260684,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-17","Clark","Nevada",32003,42,1,2020-03-17,56,3.73766961828337,19.7142857142857,2.98134353610189,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-17","Washoe","Nevada",32031,12,0,2020-03-17,56,2.484906649788,5.71428571428571,1.74296930505862,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-18","Carson City","Nevada",32510,1,0,2020-03-18,57,0,1,0,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-18","Clark","Nevada",32003,69,1,2020-03-18,57,4.23410650459726,28.8571428571429,3.36235754834589,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-18","Washoe","Nevada",32031,12,0,2020-03-18,57,2.484906649788,7.14285714285714,1.96611285637283,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-19","Carson City","Nevada",32510,2,0,2020-03-19,58,0.693147180559945,1.14285714285714,0.13353139262452,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-19","Clark","Nevada",32003,74,1,2020-03-19,58,4.30406509320417,38.2857142857143,3.64507683145554,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-19","Washoe","Nevada",32031,18,0,2020-03-19,58,2.89037175789616,9.42857142857143,2.24374459297111,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-20","Carson City","Nevada",32510,3,0,2020-03-20,59,1.09861228866811,1.42857142857143,0.356674943938733,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-20","Clark","Nevada",32003,126,2,2020-03-20,59,4.83628190695148,54,3.98898404656427,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-20","Washoe","Nevada",32031,22,0,2020-03-20,59,3.09104245335832,12.2857142857143,2.5084371471982,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-21","Carson City","Nevada",32510,3,0,2020-03-21,60,1.09861228866811,1.71428571428571,0.538996500732684,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-21","Clark","Nevada",32003,126,2,2020-03-21,60,4.83628190695148,69.7142857142857,4.24440525679783,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-21","Washoe","Nevada",32031,22,0,2020-03-21,60,3.09104245335832,14.8571428571429,2.69848075008606,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-22","Carson City","Nevada",32510,3,0,2020-03-22,61,1.09861228866811,2,0.693147180559945,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-22","Clark","Nevada",32003,126,2,2020-03-22,61,4.83628190695148,85.4285714285714,4.44768060489532,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-22","Washoe","Nevada",32031,25,0,2020-03-22,61,3.2188758248682,17.1428571428571,2.84158159372673,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-23","Carson City","Nevada",32510,3,0,2020-03-23,62,1.09861228866811,2.28571428571429,0.82667857318447,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-23","Clark","Nevada",32003,151,4,2020-03-23,62,5.01727983681492,102,4.62497281328427,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-23","Washoe","Nevada",32031,25,0,2020-03-23,62,3.2188758248682,19.4285714285714,2.96674473668074,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-24","Carson City","Nevada",32510,3,0,2020-03-24,63,1.09861228866811,2.57142857142857,0.944461608840851,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-24","Clark","Nevada",32003,249,6,2020-03-24,63,5.51745289646471,131.571428571429,4.8795498872,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-24","Washoe","Nevada",32031,44,0,2020-03-24,63,3.78418963391826,24,3.17805383034795,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-25","Carson City","Nevada",32510,3,0,2020-03-25,64,1.09861228866811,2.85714285714286,1.04982212449868,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-25","Clark","Nevada",32003,249,6,2020-03-25,64,5.51745289646471,157.285714285714,5.05806398766736,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-25","Elko","Nevada",32007,2,0,2020-03-25,64,0.693147180559945,1.85714285714286,0.619039208406225,-6.25210680645014,0.105793779332871,0.00820035223425815,0.176504505133262,0.0338185078543622,62.8640697607095
"2020-03-25","Washoe","Nevada",32031,57,0,2020-03-25,64,4.04305126783455,30.4285714285714,3.41538201665411,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-26","Carson City","Nevada",32510,4,0,2020-03-26,65,1.38629436111989,3.14285714285714,1.145132304303,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-26","Clark","Nevada",32003,350,10,2020-03-26,65,5.85793315448346,196.714285714286,5.28175234967334,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-26","Elko","Nevada",32007,2,0,2020-03-26,65,0.693147180559945,2,0.693147180559945,-6.25210680645014,0.105793779332871,0.00820035223425815,0.176504505133262,0.0338185078543622,62.8640697607095
"2020-03-26","Nye","Nevada",32023,1,0,2020-03-26,65,0,1,0,-7.32990992718773,0.109409713892344,0.0291215293144257,0.189658013608342,0.0273835240280167,67.8433901251491
"2020-03-26","Washoe","Nevada",32031,67,0,2020-03-26,65,4.20469261939097,37.4285714285714,3.62243435470578,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
"2020-03-27","Carson City","Nevada",32510,4,0,2020-03-27,66,1.38629436111989,3.28571428571429,1.18958406687384,-5.70528702348474,0.103536314813709,0.0051926817967135,0.174854547693839,0.0369558251306224,59.1404244103487
"2020-03-27","Clark","Nevada",32003,443,10,2020-03-27,66,6.09356977004514,242,5.48893772615669,-11.4628589304467,0.255532435894341,0.00835280120327072,0.217043548952168,0.017647165117564,41.9076836303832
"2020-03-27","Elko","Nevada",32007,2,0,2020-03-27,66,0.693147180559945,2,0.693147180559945,-6.25210680645014,0.105793779332871,0.00820035223425815,0.176504505133262,0.0338185078543622,62.8640697607095
"2020-03-27","Nye","Nevada",32023,1,0,2020-03-27,66,0,1,0,-7.32990992718773,0.109409713892344,0.0291215293144257,0.189658013608342,0.0273835240280167,67.8433901251491
"2020-03-27","Washoe","Nevada",32031,75,0,2020-03-27,66,4.31748811353631,45,3.80666248977032,-9.84702225855121,0.205921077119146,0.00393738940332465,0.215680039213812,0.0180511908992483,48.4384112014023
