"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","lm_mse","grf_mse","Predicted_Double_Days","Predicted_Outbreak_Class","Actual_Outbreak_Class"
6023,"2020-02-27",37,"Humboldt","California",0,0,36,0,0.00720067698134612,36.5,0.0540050773600959,"2020-03-05",44,0,0,0.00291654838066994,96.2613907491745,0,0
6037,"2020-02-27",37,"Los Angeles","California",0,0,30,0,0.00720067698134612,33.5,0.0756071083041343,"2020-03-05",44,1.18958406687384,1.4151102521601,1.24094466422421,96.2613907491745,0,4
6059,"2020-02-27",37,"Orange","California",0,0,30,0,0.00720067698134612,33.5,0.0756071083041343,"2020-03-05",44,0.619039208406225,0.383209541544206,0.295318447421369,96.2613907491745,0,3
6073,"2020-02-27",37,"San Diego","California",0,0,30,0,0.00720067698134612,33.5,0.0756071083041343,"2020-03-05",44,0,0,0.00571643482611309,96.2613907491745,0,0
6075,"2020-02-27",37,"San Francisco","California",0.944461608840851,0.0380900966610911,13.1759108856528,0.86937176056684,0.00720067698134612,-74.0102411786552,0.849753627218247,"2020-03-05",44,1.18958406687384,0.102535921110446,0.115484727716512,96.2613907491745,0,2
6085,"2020-02-27",37,"Santa Clara","California",0.693147180559945,5.23364152894592e-17,-13244070628955476,0.693147180559945,0.00720067698134612,-62.7613907491745,0.768754288864079,"2020-03-05",44,2.27359755612079,2.49782338961043,2.26455325900786,96.2613907491745,0,4
17031,"2020-02-27",37,"Cook","Illinois",0.693147180559945,5.23364152894592e-17,-13244070628955476,0.693147180559945,1.10920170477642e-18,-624906342620216960,0.693147180559945,"2020-03-05",44,1.27296567581289,0.336189487437386,0.336189487437386,624906342620219648,0,3
31055,"2020-02-27",37,"Douglas","Nebraska",2.484906649788,0.0329489318256201,-38.5212397833816,2.45539524918333,0.0329704383110437,-38.4732821718747,2.7191802621571,"2020-03-05",44,2.56494935746154,0.012002102640634,0.0237871719632117,21.0232928668034,1,0
48029,"2020-02-27",37,"Bexar","Texas",2.00533356952611,0.19832408404115,26.9566534479496,1.79351342160209,0.197619690913589,26.9333304262345,3.37270996609189,"2020-03-05",44,2.39789527279837,0.365277422055445,0.950263686260944,3.50748033941127,4,3
