"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-08","Grafton","New Hampshire",33009,3,0,2020-03-08,47,1.09861228866811,2.14285714285714,0.762140052046895,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-09","Grafton","New Hampshire",33009,3,0,2020-03-09,48,1.09861228866811,2.42857142857143,0.887303195000903,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-10","Grafton","New Hampshire",33009,3,0,2020-03-10,49,1.09861228866811,2.57142857142857,0.944461608840851,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-11","Grafton","New Hampshire",33009,3,0,2020-03-11,50,1.09861228866811,2.71428571428571,0.998528830111126,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-12","Grafton","New Hampshire",33009,3,0,2020-03-12,51,1.09861228866811,2.85714285714286,1.04982212449868,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-13","Grafton","New Hampshire",33009,3,0,2020-03-13,52,1.09861228866811,3,1.09861228866811,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-13","Rockingham","New Hampshire",33015,4,0,2020-03-13,52,1.38629436111989,2,0.693147180559945,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-14","Grafton","New Hampshire",33009,3,0,2020-03-14,53,1.09861228866811,3,1.09861228866811,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-14","Rockingham","New Hampshire",33015,4,0,2020-03-14,53,1.38629436111989,2.42857142857143,0.887303195000903,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-15","Grafton","New Hampshire",33009,3,0,2020-03-15,54,1.09861228866811,3,1.09861228866811,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-15","Rockingham","New Hampshire",33015,9,0,2020-03-15,54,2.19722457733622,3.57142857142857,1.27296567581289,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-16","Grafton","New Hampshire",33009,5,0,2020-03-16,55,1.6094379124341,3.28571428571429,1.18958406687384,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-16","Rockingham","New Hampshire",33015,10,0,2020-03-16,55,2.30258509299405,4.85714285714286,1.58045037556085,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-17","Grafton","New Hampshire",33009,7,0,2020-03-17,56,1.94591014905531,3.85714285714286,1.34992671694902,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-17","Rockingham","New Hampshire",33015,14,0,2020-03-17,56,2.63905732961526,6.57142857142857,1.88273124743378,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-18","Grafton","New Hampshire",33009,7,0,2020-03-18,57,1.94591014905531,4.42857142857143,1.48807705542983,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-18","Rockingham","New Hampshire",33015,17,0,2020-03-18,57,2.83321334405622,8.71428571428571,2.164963715118,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-19","Grafton","New Hampshire",33009,9,0,2020-03-19,58,2.19722457733622,5.28571428571429,1.66500776358891,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-19","Rockingham","New Hampshire",33015,18,0,2020-03-19,58,2.89037175789616,10.8571428571429,2.38482319123102,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-20","Grafton","New Hampshire",33009,13,0,2020-03-20,59,2.56494935746154,6.71428571428571,1.90423745265474,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-20","Rockingham","New Hampshire",33015,20,0,2020-03-20,59,2.99573227355399,13.1428571428571,2.57587842799372,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-21","Grafton","New Hampshire",33009,14,0,2020-03-21,60,2.63905732961526,8.28571428571429,2.11453286149111,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-21","Hillsborough","New Hampshire",33011,12,0,2020-03-21,60,2.484906649788,6.42857142857143,1.86075234071501,-11.3884439780199,0.221723284033999,0.00701809356758138,0.145739728702283,0.0242899197217999,45.2963653144109
"2020-03-21","Rockingham","New Hampshire",33015,25,0,2020-03-21,60,3.2188758248682,16.1428571428571,2.78147766965702,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-22","Carroll","New Hampshire",33003,6,0,2020-03-22,61,1.79175946922805,3.71428571428571,1.31218638896617,-5.56959607740299,0.114045783393612,0.0151803406317155,0.145739728702283,0.0242899197217999,52.0253583015268
"2020-03-22","Grafton","New Hampshire",33009,15,0,2020-03-22,61,2.70805020110221,10,2.30258509299405,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-22","Hillsborough","New Hampshire",33011,16,0,2020-03-22,61,2.77258872223978,8.57142857142857,2.14843441316679,-11.3884439780199,0.221723284033999,0.00701809356758138,0.145739728702283,0.0242899197217999,45.2963653144109
"2020-03-22","Rockingham","New Hampshire",33015,28,0,2020-03-22,61,3.3322045101752,18.8571428571429,2.93689177353106,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-23","Carroll","New Hampshire",33003,7,0,2020-03-23,62,1.94591014905531,4.57142857142857,1.51982575374441,-5.56959607740299,0.114045783393612,0.0151803406317155,0.145739728702283,0.0242899197217999,52.0253583015268
"2020-03-23","Grafton","New Hampshire",33009,20,0,2020-03-23,62,2.99573227355399,12.1428571428571,2.496741107435,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-23","Hillsborough","New Hampshire",33011,19,1,2020-03-23,62,2.94443897916644,11.1428571428571,2.41079867763427,-11.3884439780199,0.221723284033999,0.00701809356758138,0.145739728702283,0.0242899197217999,45.2963653144109
"2020-03-23","Rockingham","New Hampshire",33015,38,0,2020-03-23,62,3.63758615972639,22.8571428571429,3.12926366617852,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-24","Belknap","New Hampshire",33001,7,0,2020-03-24,63,1.94591014905531,4.14285714285714,1.42138568093116,-8.12418315778947,0.151756809213239,0.00876084794428647,0.145739728702283,0.0242899197217999,53.0814866592492
"2020-03-24","Carroll","New Hampshire",33003,7,0,2020-03-24,63,1.94591014905531,5.42857142857143,1.69167601067107,-5.56959607740299,0.114045783393612,0.0151803406317155,0.145739728702283,0.0242899197217999,52.0253583015268
"2020-03-24","Grafton","New Hampshire",33009,21,0,2020-03-24,63,3.04452243772342,14.1428571428571,2.64920970107927,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-24","Hillsborough","New Hampshire",33011,20,1,2020-03-24,63,2.99573227355399,13.4285714285714,2.59738463321469,-11.3884439780199,0.221723284033999,0.00701809356758138,0.145739728702283,0.0242899197217999,45.2963653144109
"2020-03-24","Merrimack","New Hampshire",33013,4,0,2020-03-24,63,1.38629436111989,3,1.09861228866811,-11.7682535504409,0.203943918201262,0.0148196342173132,0.145739728702283,0.0242899197217999,54.9890095111119
"2020-03-24","Rockingham","New Hampshire",33015,42,0,2020-03-24,63,3.73766961828337,26.8571428571429,3.29053181377464,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-25","Belknap","New Hampshire",33001,8,0,2020-03-25,64,2.07944154167984,5,1.6094379124341,-8.12418315778947,0.151756809213239,0.00876084794428647,0.145739728702283,0.0242899197217999,53.0814866592492
"2020-03-25","Carroll","New Hampshire",33003,7,0,2020-03-25,64,1.94591014905531,5.85714285714286,1.76766191764899,-5.56959607740299,0.114045783393612,0.0151803406317155,0.145739728702283,0.0242899197217999,52.0253583015268
"2020-03-25","Grafton","New Hampshire",33009,22,0,2020-03-25,64,3.09104245335832,16.2857142857143,2.79028829933918,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-25","Hillsborough","New Hampshire",33011,30,1,2020-03-25,64,3.40119738166216,16.5714285714286,2.80768004205105,-11.3884439780199,0.221723284033999,0.00701809356758138,0.145739728702283,0.0242899197217999,45.2963653144109
"2020-03-25","Merrimack","New Hampshire",33013,5,0,2020-03-25,64,1.6094379124341,3.57142857142857,1.27296567581289,-11.7682535504409,0.203943918201262,0.0148196342173132,0.145739728702283,0.0242899197217999,54.9890095111119
"2020-03-25","Rockingham","New Hampshire",33015,56,0,2020-03-25,64,4.02535169073515,32.4285714285714,3.47903986842609,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-26","Belknap","New Hampshire",33001,8,0,2020-03-26,65,2.07944154167984,5.71428571428571,1.74296930505862,-8.12418315778947,0.151756809213239,0.00876084794428647,0.145739728702283,0.0242899197217999,53.0814866592492
"2020-03-26","Carroll","New Hampshire",33003,7,0,2020-03-26,65,1.94591014905531,6.28571428571429,1.83827948486295,-5.56959607740299,0.114045783393612,0.0151803406317155,0.145739728702283,0.0242899197217999,52.0253583015268
"2020-03-26","Grafton","New Hampshire",33009,23,0,2020-03-26,65,3.13549421592915,18.2857142857143,2.9061201148643,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-26","Hillsborough","New Hampshire",33011,35,1,2020-03-26,65,3.55534806148941,20.4285714285714,3.01693448120459,-11.3884439780199,0.221723284033999,0.00701809356758138,0.145739728702283,0.0242899197217999,45.2963653144109
"2020-03-26","Merrimack","New Hampshire",33013,7,0,2020-03-26,65,1.94591014905531,4.28571428571429,1.45528723260684,-11.7682535504409,0.203943918201262,0.0148196342173132,0.145739728702283,0.0242899197217999,54.9890095111119
"2020-03-26","Rockingham","New Hampshire",33015,67,0,2020-03-26,65,4.20469261939097,39.4285714285714,3.67449071666184,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
"2020-03-27","Belknap","New Hampshire",33001,9,0,2020-03-27,66,2.19722457733622,6.57142857142857,1.88273124743378,-8.12418315778947,0.151756809213239,0.00876084794428647,0.145739728702283,0.0242899197217999,53.0814866592492
"2020-03-27","Carroll","New Hampshire",33003,8,0,2020-03-27,66,2.07944154167984,6.71428571428571,1.90423745265474,-5.56959607740299,0.114045783393612,0.0151803406317155,0.145739728702283,0.0242899197217999,52.0253583015268
"2020-03-27","Grafton","New Hampshire",33009,26,0,2020-03-27,66,3.25809653802148,20.1428571428571,3.00284974132285,-5.34058439595475,0.124432690769575,0.00761790645189855,0.145739728702283,0.0242899197217999,44.9049281031784
"2020-03-27","Hillsborough","New Hampshire",33011,43,2,2020-03-27,66,3.76120011569356,25,3.2188758248682,-11.3884439780199,0.221723284033999,0.00701809356758138,0.145739728702283,0.0242899197217999,45.2963653144109
"2020-03-27","Merrimack","New Hampshire",33013,11,0,2020-03-27,66,2.39789527279837,5.57142857142857,1.71765149707433,-11.7682535504409,0.203943918201262,0.0148196342173132,0.145739728702283,0.0242899197217999,54.9890095111119
"2020-03-27","Rockingham","New Hampshire",33015,75,0,2020-03-27,66,4.31748811353631,47.2857142857143,3.85620822632175,-10.7124629220372,0.222911989348949,0.00793056983619932,0.145739728702283,0.0242899197217999,42.2623233810604
