"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days","predicted.grf.past","block.mse"
1073,"Jefferson","Alabama",74,"2020-04-04",5.73518885248105,35.1730742417154,0.151760736203693,6.95472799102927,4.56736833188264,6.59965855513295,0.747307866803064
1081,"Lee","Alabama",74,"2020-04-04",4.42227703729518,39.4450188730929,0.13081420782487,5.43598193729377,5.29871481152804,NA,NA
1089,"Madison","Alabama",74,"2020-04-04",4.67149282891917,41.5493636128138,0.14647585107141,5.77856554012181,4.73216011711053,NA,NA
1117,"Shelby","Alabama",74,"2020-04-04",4.58350868920691,38.3078077785495,0.131843574612619,5.62869123052508,5.25734517284245,NA,NA
2020,"Anchorage","Alaska",74,"2020-04-04",4.21106883653024,38.6420738492789,0.127538641903478,5.40227237511081,5.43480132934551,NA,NA
4005,"Coconino","Arizona",74,"2020-04-04",4.59943951127911,43.8204103658672,0.15183768451358,5.64526280121182,4.56505368071489,NA,NA
4013,"Maricopa","Arizona",74,"2020-04-04",6.76668533869341,33.0058722344727,0.166449869432786,7.98861630011246,4.1642999356022,7.31060514917921,0.295848760238909
4017,"Navajo","Arizona",74,"2020-04-04",4.7349445297349,43.9584479160773,0.157537376600163,5.83542894049948,4.3998903340836,NA,NA
4019,"Pima","Arizona",74,"2020-04-04",5.43309797857299,41.4730034385841,0.168283338024905,6.65173492345402,4.11892935269302,NA,NA
4021,"Pinal","Arizona",74,"2020-04-04",4.22160634183303,46.4643359042735,0.158386410022591,5.46997985386821,4.37630463662305,NA,NA
5023,"Cleburne","Arkansas",74,"2020-04-04",4.1225154391888,34.219711144996,0.108090762997347,5.05651711557367,6.41264027877163,NA,NA
5045,"Faulkner","Arkansas",74,"2020-04-04",3.59926729542425,38.9794281243922,0.108562441015005,4.56185585566244,6.38477888005616,NA,NA
5069,"Jefferson","Arkansas",74,"2020-04-04",3.76782265645406,41.1602023369522,0.121046814923033,4.82248061429005,5.72627359919116,NA,NA
5119,"Pulaski","Arkansas",74,"2020-04-04",4.7523579050601,36.5943670751582,0.13277183248989,5.89581725630465,5.22058909304218,5.80933375723686,1.11719795208479
6001,"Alameda","California",74,"2020-04-04",5.93791306583684,24.6939368910504,0.122080077123627,6.87384852686841,5.6778075251215,6.38585160665756,0.200648936352596
6013,"Contra Costa","California",74,"2020-04-04",5.53282467651256,30.4135196723777,0.128984868022016,6.52489048875667,5.37386432369442,6.02136546121628,0.238672098318926
6019,"Fresno","California",74,"2020-04-04",4.35119917087862,50.5426851111859,0.182066287815133,5.54525025862297,3.80711436959573,NA,NA
6029,"Kern","California",74,"2020-04-04",4.85314571300348,48.263708059539,0.186731878797572,6.1129092989081,3.71199168038873,NA,NA
6037,"Los Angeles","California",74,"2020-04-04",8.18180037201459,25.966770278293,0.170526870114799,9.38464441675145,4.06473877162769,8.56842421872275,0.149477998843415
6041,"Marin","California",74,"2020-04-04",4.72358794080257,30.5308130990288,0.114198972414165,5.76352928266934,6.06964463783538,5.34574907580289,0.387084477904886
