"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-02-01","Maricopa","Arizona",4013,1,0,2020-02-01,11,0,1,0,11,0,0,0,NA,NA
"2020-02-02","Maricopa","Arizona",4013,1,0,2020-02-02,12,0,1,0,11,0,0,0,NA,NA
"2020-02-03","Maricopa","Arizona",4013,1,0,2020-02-03,13,0,1,0,11,0,0,0,NA,NA
"2020-02-04","Maricopa","Arizona",4013,1,0,2020-02-04,14,0,1,0,11,0,0,0,NA,NA
"2020-02-05","Maricopa","Arizona",4013,1,0,2020-02-05,15,0,1,0,11,0,0,0,NA,NA
"2020-02-06","Maricopa","Arizona",4013,1,0,2020-02-06,16,0,1,0,11,0,0,0,NA,NA
"2020-02-07","Maricopa","Arizona",4013,1,0,2020-02-07,17,0,1,0,11,0,0,0,NA,NA
"2020-02-08","Maricopa","Arizona",4013,1,0,2020-02-08,18,0,1,0,11,0,0,0,NA,NA
"2020-02-09","Maricopa","Arizona",4013,1,0,2020-02-09,19,0,1,0,11,0,0,0,NA,NA
"2020-02-10","Maricopa","Arizona",4013,1,0,2020-02-10,20,0,1,0,11,0,0,0,NA,NA
"2020-02-11","Maricopa","Arizona",4013,1,0,2020-02-11,21,0,1,0,11,0,0,0,NA,NA
"2020-02-12","Maricopa","Arizona",4013,1,0,2020-02-12,22,0,1,0,11,0,0,0,NA,NA
"2020-02-13","Maricopa","Arizona",4013,1,0,2020-02-13,23,0,1,0,11,0,0,0,NA,NA
"2020-02-14","Maricopa","Arizona",4013,1,0,2020-02-14,24,0,1,0,11,0,0,0,NA,NA
"2020-02-15","Maricopa","Arizona",4013,1,0,2020-02-15,25,0,1,0,11,0,0,0,NA,NA
"2020-02-16","Maricopa","Arizona",4013,1,0,2020-02-16,26,0,1,0,11,0,0,0,NA,NA
"2020-02-17","Maricopa","Arizona",4013,1,0,2020-02-17,27,0,1,0,11,0,0,0,NA,NA
