"fips","State_FIPS_Code","county","state","datetime","log_rolled_cases.x","shifted_time","log_rolled_cases.y","new_rolled_cases","LAT","LON","AREA_SQMI","E_TOTPOP","E_HU","E_HH","E_POV","E_UNEMP","E_PCI","E_NOHSDP","E_AGE65","E_AGE17","E_DISABL","E_SNGPNT","E_MINRTY","E_LIMENG","E_MUNIT","E_MOBILE","E_CROWD","E_NOVEH","E_GROUPQ","EP_POV","MP_POV","EP_UNEMP","MP_UNEMP","EP_PCI","MP_PCI","EP_NOHSDP","MP_NOHSDP","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_MINRTY","MP_MINRTY","EP_LIMENG","MP_LIMENG","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV","EPL_UNEMP","EPL_PCI","EPL_NOHSDP","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","SPL_THEME2","RPL_THEME2","EPL_MINRTY","EPL_LIMENG","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV","F_UNEMP","F_PCI","F_NOHSDP","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_THEME2","F_MINRTY","F_LIMENG","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_UNINSUR","EP_UNINSUR","MP_UNINSUR","E_DAYPOP","State_of_emergency","Date_closed_K.12_schools","Closed_day_cares","Date_banned_visitors_to_nursing_homes","Closed_non.essential_businesses","Closed_restaurants_except_take_out","Closed_gyms","Closed_movie_theaters","Closed_Bars","Stay_at_home._shelter_in_place","Religious_Gatherings_Exempt_Without_Clear_Social_Distance_Mandate.","End.relax_stay_at_home.shelter_in_place","Began_to_reopen_businesses_statewide","Reopen_restaurants","Initially_reopen_restaurants_for_outdoor_dining_only","Reopened_gyms","Reopened_movie_theaters","Reopened_hair_salons.barber_shops","Reopen_non.essential_construction","Reopen_Religious_gatherings","Reopen_non.essential_retail","Reopen_bars","Reopen_Childcare","Resumed_elective_medical_procedures","Begin_to_Re.Close_Bars","Re.Close_Bars_.statewide.","Re.Close_Movie_Theaters_.statewide.","Re.Close_Gyms_.statewide.","Re.Close_Indoor_Dining_.Statewide.","Mandate_face_mask_use_by_all_individuals_in_public_spaces","Face_mask_mandate_enforced_by_fines","Face_mask_mandate_enforced_by_criminal_charge.citation","No_legal_enforcement_of_face_mask_mandate","Mandate_face_mask_use_by_employees_in_public.facing_businesses","Mandate_quarantine_for_those_entering_the_state_from_specific_states","Mandate_quarantine_for_all_individuals_entering_the_state_from_another_state","Date_all_mandated_quarantines_ended","Alcohol.Liquor_Stores_Open","Allow_restaurants_to_sell_takeout_alcohol","Allow_restaurants_to_deliver_alcohol","Keep_Firearms_Sellers_Open","Stop_Initiation_of_Evictions_overall_or_due_to_COVID_related_issues","Stop_enforcement_of_evictions_overall_or_due_to_COVID_related_issues","Renter_grace_period_or_use_of_security_deposit_to_pay_rent","Order_freezing_utility_shut_offs","Froze_mortgage_payments","Lift_Eviction_Moratorium","Prior_to_pandemic._no_state_unemployment_waiting_period._or_date_waiting_period_waived_not_found","Waived_one_week_waiting_period_for_unemployment_insurance","Waive_work_search_requirement_for_unemployment_insurance","Expand_eligibility_of_unemployment_insurance_to_anyonewho_is_quarantined_and.or_taking_care_of_someone_who_is_quarantined","Expand_eligibility_to_high.risk_individuals_in_preventative_quarantine","Expand_eligibility_of_unemployment_insurance_to_those_who_have_lost_childcare.school_closures","Extend_the_amount_of_time_an_individual_can_be_on_unemployment_insurance","Weekly_unemployment_insurance_maximum_amount_.dollars.","Weekly_unemployment_insurance_maximum_amount_with_extra_stimulus_.through_July_21._2020._.dollars.","Unemployment_insurance_maximum_duration_.weeks.","Unemployment_insurance_maximum_duration_with_Pandemic_Emergency_Unemployment_Compensation_CARES_extension_.weeks.","SNAP_Waiver.Emergency_Allotments_to_Current_SNAP_Households","SNAP_Waiver.Pandemic_EBT","SNAP_Waiver.Temporary_Suspension_of_Claims_Collection","X2020_Q1_SNAP_ABAWD_Time_Limit_Waiver","Modify_Medicaid_requirements_with_1135_waivers_.date_of_CMS_approval.","Reopened_ACA_enrollment_using_a_special_enrollment_period","State_previously_allowed_audio.only_telehealth","Allow_audio.only_telehealth","Allow.expand_Medicaid_telehealth_coverage","State_had_CHIP_premium_non.payment_lock.out_period_as_of_January_2019","Supend_CHIP_premium_non.payment_lock.outs","Suspended_elective_medical.dental_procedures","Made_Effort_to_Limit_Abortion_Access","Stopped_personal_visitation_in_state_prisons","Stopped_in.person_attorney_visits_in_state_prisons","Does_not_charge_copays_for_incarcerated_individuals","Waived_COVID.respiratory_illness.related_copays_during_pandemic_for_incarcerated_individuals","Waived_all_copays_during_pandemic_for_incarcerated_individuals","Did_not_waive_copays_for_incarcerated_individuals","Use_of_telemedicine.telephone_evaluations_to_initiate_buprenorphine_prescribing","Patients_can_receive_14.28_take.home_doses_of_opioid_medication","Home_delivery_of_take.home_medication_by_opioid_treatment_programs","Use_of_telemedicine_for_schedule_II.V_prescriptions","Exceptions_to_emergency_oral_prescriptions","Waive_requirement_to_obtain_separate_DEA_registration_to_dispense_outside_home_state","Paid_sick_leave","Medicaid_Expansion","Population_density_per_square_miles","Population_2018","Square_Miles","Number_Homeless_.2019.","Percent_Unemployed_.2018.","Percent_living_under_the_federal_poverty_line_.2018.","Percent_at_risk_for_serious_illness_due_to_COVID","All.cause_deaths_2018","cutoff","t0.lm","r.lm","shifted_log_rolled_cases"
6001,6,"Alameda","California","2020-03-20",3.85922481986117,4,3.42006586596654,12.8571428571429,37.647139,-121.912488,737.299612,1643700,601942,572870,170884,45110,44283,139234,215917,344513,153134,40874,1120309,130524,129403,7220,44166,54816,32288,10.6,0.3,5.1,0.2,44283,341,12,0.2,13.1,0,21,0,9.4,0.1,7.1,0.2,68.2,0,8.4,0.2,21.5,0.3,1.2,0.1,7.7,0.3,9.6,0.2,2,0.1,0.2239,0.4303,0.0194,0.4925,1.1661,0.2548,0.1079,0.3216,0.0423,0.3123,0.7841,0.0239,0.9618,0.9663,1.9281,0.9806,0.9819,0.0443,0.9736,0.8892,0.4995,3.3885,0.916,7.2668,0.4701,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,83911,5.1,0.1,1480381,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,28.8997287631331,0.129743609202839,0.439158953894636
6001,6,"Alameda","California","2020-03-19",3.73766961828337,3,3.42006586596654,12.8571428571429,37.647139,-121.912488,737.299612,1643700,601942,572870,170884,45110,44283,139234,215917,344513,153134,40874,1120309,130524,129403,7220,44166,54816,32288,10.6,0.3,5.1,0.2,44283,341,12,0.2,13.1,0,21,0,9.4,0.1,7.1,0.2,68.2,0,8.4,0.2,21.5,0.3,1.2,0.1,7.7,0.3,9.6,0.2,2,0.1,0.2239,0.4303,0.0194,0.4925,1.1661,0.2548,0.1079,0.3216,0.0423,0.3123,0.7841,0.0239,0.9618,0.9663,1.9281,0.9806,0.9819,0.0443,0.9736,0.8892,0.4995,3.3885,0.916,7.2668,0.4701,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,83911,5.1,0.1,1480381,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,28.8997287631331,0.129743609202839,0.317603752316829
6001,6,"Alameda","California","2020-03-16",3.42006586596654,0,3.42006586596654,12.8571428571429,37.647139,-121.912488,737.299612,1643700,601942,572870,170884,45110,44283,139234,215917,344513,153134,40874,1120309,130524,129403,7220,44166,54816,32288,10.6,0.3,5.1,0.2,44283,341,12,0.2,13.1,0,21,0,9.4,0.1,7.1,0.2,68.2,0,8.4,0.2,21.5,0.3,1.2,0.1,7.7,0.3,9.6,0.2,2,0.1,0.2239,0.4303,0.0194,0.4925,1.1661,0.2548,0.1079,0.3216,0.0423,0.3123,0.7841,0.0239,0.9618,0.9663,1.9281,0.9806,0.9819,0.0443,0.9736,0.8892,0.4995,3.3885,0.916,7.2668,0.4701,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,83911,5.1,0.1,1480381,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,28.8997287631331,0.129743609202839,0
6001,6,"Alameda","California","2020-03-18",3.63758615972639,2,3.42006586596654,12.8571428571429,37.647139,-121.912488,737.299612,1643700,601942,572870,170884,45110,44283,139234,215917,344513,153134,40874,1120309,130524,129403,7220,44166,54816,32288,10.6,0.3,5.1,0.2,44283,341,12,0.2,13.1,0,21,0,9.4,0.1,7.1,0.2,68.2,0,8.4,0.2,21.5,0.3,1.2,0.1,7.7,0.3,9.6,0.2,2,0.1,0.2239,0.4303,0.0194,0.4925,1.1661,0.2548,0.1079,0.3216,0.0423,0.3123,0.7841,0.0239,0.9618,0.9663,1.9281,0.9806,0.9819,0.0443,0.9736,0.8892,0.4995,3.3885,0.916,7.2668,0.4701,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,83911,5.1,0.1,1480381,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,28.8997287631331,0.129743609202839,0.217520293759847
6001,6,"Alameda","California","2020-03-21",4.02023659006838,5,3.42006586596654,12.8571428571429,37.647139,-121.912488,737.299612,1643700,601942,572870,170884,45110,44283,139234,215917,344513,153134,40874,1120309,130524,129403,7220,44166,54816,32288,10.6,0.3,5.1,0.2,44283,341,12,0.2,13.1,0,21,0,9.4,0.1,7.1,0.2,68.2,0,8.4,0.2,21.5,0.3,1.2,0.1,7.7,0.3,9.6,0.2,2,0.1,0.2239,0.4303,0.0194,0.4925,1.1661,0.2548,0.1079,0.3216,0.0423,0.3123,0.7841,0.0239,0.9618,0.9663,1.9281,0.9806,0.9819,0.0443,0.9736,0.8892,0.4995,3.3885,0.916,7.2668,0.4701,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,83911,5.1,0.1,1480381,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,28.8997287631331,0.129743609202839,0.60017072410184
6001,6,"Alameda","California","2020-03-17",3.52636052461616,1,3.42006586596654,12.8571428571429,37.647139,-121.912488,737.299612,1643700,601942,572870,170884,45110,44283,139234,215917,344513,153134,40874,1120309,130524,129403,7220,44166,54816,32288,10.6,0.3,5.1,0.2,44283,341,12,0.2,13.1,0,21,0,9.4,0.1,7.1,0.2,68.2,0,8.4,0.2,21.5,0.3,1.2,0.1,7.7,0.3,9.6,0.2,2,0.1,0.2239,0.4303,0.0194,0.4925,1.1661,0.2548,0.1079,0.3216,0.0423,0.3123,0.7841,0.0239,0.9618,0.9663,1.9281,0.9806,0.9819,0.0443,0.9736,0.8892,0.4995,3.3885,0.916,7.2668,0.4701,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,83911,5.1,0.1,1480381,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,28.8997287631331,0.129743609202839,0.106294658649623
6001,6,"Alameda","California","2020-03-22",4.22787595484662,6,3.42006586596654,12.8571428571429,37.647139,-121.912488,737.299612,1643700,601942,572870,170884,45110,44283,139234,215917,344513,153134,40874,1120309,130524,129403,7220,44166,54816,32288,10.6,0.3,5.1,0.2,44283,341,12,0.2,13.1,0,21,0,9.4,0.1,7.1,0.2,68.2,0,8.4,0.2,21.5,0.3,1.2,0.1,7.7,0.3,9.6,0.2,2,0.1,0.2239,0.4303,0.0194,0.4925,1.1661,0.2548,0.1079,0.3216,0.0423,0.3123,0.7841,0.0239,0.9618,0.9663,1.9281,0.9806,0.9819,0.0443,0.9736,0.8892,0.4995,3.3885,0.916,7.2668,0.4701,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,83911,5.1,0.1,1480381,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,28.8997287631331,0.129743609202839,0.807810088880085
6037,6,"Los Angeles","California","2020-03-17",4.18531634042783,1,3.87120101090789,50.2857142857143,34.196398,-118.261862,4058.1913941,10098052,3524321,3306109,1589956,357178,32469,1460718,1299277,2246521,993035,309423,7439000,1297024,943920,56280,378286,298364,177480,16,0.2,6.8,0.1,32469,137,21.3,0.1,12.9,0,22.2,0,9.9,0.1,9.4,0.1,73.7,0,13.7,0.1,26.8,0.1,1.6,0.1,11.4,0.1,9,0.1,1.8,0,0.5831,0.7092,0.1586,0.8844,2.3353,0.6159,0.099,0.4756,0.0592,0.6972,1.331,0.1047,0.9739,0.9892,1.9631,0.9933,0.9901,0.0608,0.9917,0.8571,0.4448,3.3445,0.9045,8.9739,0.7682,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,1086657,10.8,0.1,8152241,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,40.6430522962106,0.27262661641943,0.314115329519935
6037,6,"Los Angeles","California","2020-03-19",4.76461296039711,3,3.87120101090789,50.2857142857143,34.196398,-118.261862,4058.1913941,10098052,3524321,3306109,1589956,357178,32469,1460718,1299277,2246521,993035,309423,7439000,1297024,943920,56280,378286,298364,177480,16,0.2,6.8,0.1,32469,137,21.3,0.1,12.9,0,22.2,0,9.9,0.1,9.4,0.1,73.7,0,13.7,0.1,26.8,0.1,1.6,0.1,11.4,0.1,9,0.1,1.8,0,0.5831,0.7092,0.1586,0.8844,2.3353,0.6159,0.099,0.4756,0.0592,0.6972,1.331,0.1047,0.9739,0.9892,1.9631,0.9933,0.9901,0.0608,0.9917,0.8571,0.4448,3.3445,0.9045,8.9739,0.7682,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,1086657,10.8,0.1,8152241,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,40.6430522962106,0.27262661641943,0.893411949489221
6037,6,"Los Angeles","California","2020-03-20",5.03230359357538,4,3.87120101090789,50.2857142857143,34.196398,-118.261862,4058.1913941,10098052,3524321,3306109,1589956,357178,32469,1460718,1299277,2246521,993035,309423,7439000,1297024,943920,56280,378286,298364,177480,16,0.2,6.8,0.1,32469,137,21.3,0.1,12.9,0,22.2,0,9.9,0.1,9.4,0.1,73.7,0,13.7,0.1,26.8,0.1,1.6,0.1,11.4,0.1,9,0.1,1.8,0,0.5831,0.7092,0.1586,0.8844,2.3353,0.6159,0.099,0.4756,0.0592,0.6972,1.331,0.1047,0.9739,0.9892,1.9631,0.9933,0.9901,0.0608,0.9917,0.8571,0.4448,3.3445,0.9045,8.9739,0.7682,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,1086657,10.8,0.1,8152241,19,0,0,0,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,11,1,1,0,0,0,450,1050,26,39,0,0,0,1,0,3,0,0,5,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,61,40.6430522962106,0.27262661641943,1.16110258266749
