"fips","State_FIPS_Code","county","state","datetime","log_rolled_cases.x","shifted_time","log_rolled_cases.y","LAT","LON","State_of_emergency","Date_closed_K.12_schools","Closed_day_cares","Date_banned_visitors_to_nursing_homes","Closed_non.essential_businesses","Closed_restaurants_except_take_out","Closed_gyms","Closed_movie_theaters","Closed_Bars","Stay_at_home._shelter_in_place","Religious_Gatherings_Exempt_Without_Clear_Social_Distance_Mandate.","End.relax_stay_at_home.shelter_in_place","Began_to_reopen_businesses_statewide","Reopen_restaurants","Initially_reopen_restaurants_for_outdoor_dining_only","Reopened_gyms","Reopened_movie_theaters","Reopened_hair_salons.barber_shops","Reopen_non.essential_construction","Reopen_Religious_gatherings","Reopen_non.essential_retail","Reopen_bars","Reopen_Childcare","Resumed_elective_medical_procedures","Begin_to_Re.Close_Bars","Re.Close_Bars_.statewide.","Re.Close_Movie_Theaters_.statewide.","Re.Close_Gyms_.statewide.","Re.Close_Indoor_Dining_.Statewide.","Mandate_face_mask_use_by_all_individuals_in_public_spaces","Face_mask_mandate_enforced_by_fines","Face_mask_mandate_enforced_by_criminal_charge.citation","No_legal_enforcement_of_face_mask_mandate","Mandate_face_mask_use_by_employees_in_public.facing_businesses","Mandate_quarantine_for_those_entering_the_state_from_specific_states","Mandate_quarantine_for_all_individuals_entering_the_state_from_another_state","Date_all_mandated_quarantines_ended","Alcohol.Liquor_Stores_Open","Allow_restaurants_to_sell_takeout_alcohol","Allow_restaurants_to_deliver_alcohol","Keep_Firearms_Sellers_Open","Stop_Initiation_of_Evictions_overall_or_due_to_COVID_related_issues","Stop_enforcement_of_evictions_overall_or_due_to_COVID_related_issues","Renter_grace_period_or_use_of_security_deposit_to_pay_rent","Order_freezing_utility_shut_offs","Froze_mortgage_payments","Lift_Eviction_Moratorium","Prior_to_pandemic._no_state_unemployment_waiting_period._or_date_waiting_period_waived_not_found","Waived_one_week_waiting_period_for_unemployment_insurance","Waive_work_search_requirement_for_unemployment_insurance","Expand_eligibility_of_unemployment_insurance_to_anyonewho_is_quarantined_and.or_taking_care_of_someone_who_is_quarantined","Expand_eligibility_to_high.risk_individuals_in_preventative_quarantine","Expand_eligibility_of_unemployment_insurance_to_those_who_have_lost_childcare.school_closures","Extend_the_amount_of_time_an_individual_can_be_on_unemployment_insurance","Weekly_unemployment_insurance_maximum_amount_.dollars.","Weekly_unemployment_insurance_maximum_amount_with_extra_stimulus_.through_July_21._2020._.dollars.","Unemployment_insurance_maximum_duration_.weeks.","Unemployment_insurance_maximum_duration_with_Pandemic_Emergency_Unemployment_Compensation_CARES_extension_.weeks.","SNAP_Waiver.Emergency_Allotments_to_Current_SNAP_Households","SNAP_Waiver.Pandemic_EBT","SNAP_Waiver.Temporary_Suspension_of_Claims_Collection","X2020_Q1_SNAP_ABAWD_Time_Limit_Waiver","Modify_Medicaid_requirements_with_1135_waivers_.date_of_CMS_approval.","Reopened_ACA_enrollment_using_a_special_enrollment_period","State_previously_allowed_audio.only_telehealth","Allow_audio.only_telehealth","Allow.expand_Medicaid_telehealth_coverage","State_had_CHIP_premium_non.payment_lock.out_period_as_of_January_2019","Supend_CHIP_premium_non.payment_lock.outs","Suspended_elective_medical.dental_procedures","Made_Effort_to_Limit_Abortion_Access","Stopped_personal_visitation_in_state_prisons","Stopped_in.person_attorney_visits_in_state_prisons","Does_not_charge_copays_for_incarcerated_individuals","Waived_COVID.respiratory_illness.related_copays_during_pandemic_for_incarcerated_individuals","Waived_all_copays_during_pandemic_for_incarcerated_individuals","Did_not_waive_copays_for_incarcerated_individuals","Use_of_telemedicine.telephone_evaluations_to_initiate_buprenorphine_prescribing","Patients_can_receive_14.28_take.home_doses_of_opioid_medication","Home_delivery_of_take.home_medication_by_opioid_treatment_programs","Use_of_telemedicine_for_schedule_II.V_prescriptions","Exceptions_to_emergency_oral_prescriptions","Waive_requirement_to_obtain_separate_DEA_registration_to_dispense_outside_home_state","Paid_sick_leave","Medicaid_Expansion","Population_density_per_square_miles","Population_2018","Square_Miles","Number_Homeless_.2019.","Percent_Unemployed_.2018.","Percent_living_under_the_federal_poverty_line_.2018.","Percent_at_risk_for_serious_illness_due_to_COVID","All.cause_deaths_2018","cutoff","t0.lm","r.lm","shifted_log_rolled_cases"
1073,1,"Jefferson","Alabama","2020-03-31",5.35388721770285,2,5.07338650465973,33.553444,-86.896536,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,21.4591197196429,0.109750182035989,0.280500713043113
1073,1,"Jefferson","Alabama","2020-04-02",5.55793059764364,4,5.07338650465973,33.553444,-86.896536,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,21.4591197196429,0.109750182035989,0.484544092983904
1073,1,"Jefferson","Alabama","2020-04-03",5.65748919068535,5,5.07338650465973,33.553444,-86.896536,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,21.4591197196429,0.109750182035989,0.584102686025622
1073,1,"Jefferson","Alabama","2020-03-29",5.07338650465973,0,5.07338650465973,33.553444,-86.896536,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,21.4591197196429,0.109750182035989,0
1073,1,"Jefferson","Alabama","2020-04-04",5.73518885248105,6,5.07338650465973,33.553444,-86.896536,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,21.4591197196429,0.109750182035989,0.661802347821315
1073,1,"Jefferson","Alabama","2020-03-30",5.21571185388387,1,5.07338650465973,33.553444,-86.896536,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,21.4591197196429,0.109750182035989,0.142325349224141
1073,1,"Jefferson","Alabama","2020-04-01",5.46625018588989,3,5.07338650465973,33.553444,-86.896536,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,21.4591197196429,0.109750182035989,0.39286368123016
1081,1,"Lee","Alabama","2020-04-03",4.33635659784069,5,3.75118333745009,32.604064,-85.353048,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,33.0104723737982,0.108599602868448,0.585173260390601
1081,1,"Lee","Alabama","2020-03-31",4.05054193956371,2,3.75118333745009,32.604064,-85.353048,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,33.0104723737982,0.108599602868448,0.299358602113616
1081,1,"Lee","Alabama","2020-04-02",4.24645234041956,4,3.75118333745009,32.604064,-85.353048,23,17,16,17,8,17,8,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,12,1,0,2,0,0,0,0,0,20,1,1,0,0,0,275,875,26,39,12,0,0,0,13,0,0,14,20,0,0,17,1,22,0,0,0,1,0,0,0,0,16,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,74,33.0104723737982,0.108599602868448,0.495269002969468
